date,attendance,tickets_revenue,ppv_buys,tv_ratings_avg
2016-09-10,18785.0,2600000.0,475000.0,87000000.0
2016-09-03,11763.0,913438.0,,
2016-08-27,10533.0,765481.0,,1980000.0
2016-08-20,15539.0,7692010.0,1600000.0,1300000.0
2016-08-06,6689.0,481033.0,,863000.0
2016-07-30,10240.0,1070000.0,240000.0,331000.0
2016-07-23,10287.0,1000000.0,,2980000.0
2016-07-13,15671.0,381945.0,,609000.0
2016-07-09,18202.0,10700000.0,1009000.0,1790000.0
2016-07-08,8115.0,736408.0,,1090000.0
2016-07-07,7760.0,690526.0,,
2016-06-18,10490.0,991275.0,,964000.0
2016-06-04,15587.0,2168675.0,283000.0,798000.0
2016-05-29,5193.0,359000.0,,757000.0
2016-05-14,45207.0,,217000.0,786000.0
2016-05-08,10421.0,1523320.0,,656000.0
2016-04-23,11352.0,2300000.0,322000.0,835000.0
2016-04-16,11273.0,1057000.0,,2480000.0
2016-04-10,13177.0,549000.0,,781000.0
2016-03-19,9552.0,1325000.0,,1150000.0
2016-03-05,14898.0,8100000.0,1317000.0,1840000.0
2016-02-27,16734.0,2000000.0,,
2016-02-21,7330.0,572547.0,,983000.0
2016-02-06,7422.0,1435000.0,,1320000.0
2016-01-30,10555.0,818000.0,,2690000.0
2016-01-17,12022.0,1300000.0,,2290000.0
2016-01-02,10300.0,2003986.0,230000.0,1030000.0
2015-12-19,14459.0,1710000.0,,2780000.0
2015-12-12,16516.0,10100000.0,1200000.0,1930000.0
2015-12-11,1800.0,450000.0,,883000.0
2015-12-10,1643.0,234725.0,,
2015-11-28,12156.0,,,
2015-11-21,10410.0,,,750000.0
2015-11-14,56214.0,6800000.0,1100000.0,1390000.0
2015-11-07,10628.0,,,757000.0
2015-10-03,14622.0,1859000.0,250000.0,749000.0
2015-09-26,10137.0,,,841000.0
2015-09-05,10873.0,1362700.0,115000.0,663000.0
2015-08-23,7202.0,949000.0,,796000.0
2015-08-08,7539.0,454551.0,,1160000.0
2015-08-01,14723.0,,900000.0,1320000.0
2015-07-25,11663.0,1200000.0,,2800000.0
2015-07-18,10451.0,1500000.0,,508000.0
2015-07-15,5471.0,412000.0,,801000.0
2015-07-12,4844.0,291000.0,,691000.0
2015-07-11,16019.0,7200000.0,825000.0,847000.0
2015-06-27,5604.0,,,909000.0
2015-06-20,8155.0,,,
2015-06-13,21036.0,,300000.0,727000.0
2015-06-06,6231.0,621523.0,,950000.0
2015-05-30,3500.0,,,813000.0
2015-05-23,12615.0,5189167.0,375000.0,780000.0
2015-05-16,13446.0,,,575000.0
2015-05-09,7984.0,833810.0,,
2015-04-25,10154.0,668000.0,125000.0,710000.0
2015-04-18,13306.0,1200000.0,,2750000.0
2015-04-11,10000.0,720000.0,,
2015-04-04,5417.0,545604.0,,389000.0
2015-03-21,7707.0,,,617000.0
2015-03-14,17160.0,2155000.0,310000.0,1000000.0
2015-02-28,17654.0,2670000.0,590000.0,1200000.0
2015-02-22,5080.0,,,1200000.0
2015-02-14,5807.0,382875.0,,913000.0
2015-01-31,13114.0,4500000.0,650000.0,1550000.0
2015-01-24,30000.0,3100000.0,,3050000.0
2015-01-18,13828.0,1340000.0,,2750000.0
2015-01-03,11575.0,3700000.0,800000.0,1040000.0
2014-12-20,,,,966000.0
2014-12-13,15300.0,1500000.0,,2800000.0
2014-12-12,1800.0,143000.0,,989000.0
2014-12-06,9617.0,2488000.0,400000.0,840000.0
2014-11-22,10131.0,670022.0,,903000.0
2014-11-15,21000.0,,190000.0,664000.0
2014-11-08,5671.0,,,699000.0
2014-10-25,11415.0,,180000.0,536000.0
2014-10-04,10782.0,926000.0,,799000.0
2014-10-04,10026.0,1100000.0,,
2014-09-27,10544.0,2200000.0,205000.0,697000.0
2014-09-20,12395.0,,,
2014-09-13,8822.0,,,
2014-09-05,4086.0,479620.0,,911000.0
2014-08-30,11100.0,700000.0,125000.0,436000.0
2014-08-23,7119.0,452075.0,,689000.0
2014-08-23,7022.0,,,
2014-08-16,5329.0,321470.0,,735000.0
2014-07-26,11482.0,735317.0,,2500000.0
2014-07-19,9500.0,1400000.0,,257500.0
2014-07-16,4115.0,,,640000.0
2014-07-06,6500.0,835000.0,,1000000.0
2014-07-05,10088.0,4400000.0,525000.0,1000000.0
2014-06-28,9227.0,728358.0,,702000.0
2014-06-28,8089.0,913000.0,,
2014-06-14,13506.0,1140000.0,115000.0,784000.0
2014-06-07,8775.0,697901.0,,1217000.0
2014-05-31,8986.0,,,
2014-05-31,8000.0,,,
2014-05-24,11036.0,1700000.0,215000.0,697000.0
2014-05-10,6143.0,415000.0,,
2014-04-26,13485.0,2300000.0,350000.0,750000.0
2014-04-19,17000.0,1650000.0,,2500000.0
2014-04-16,5029.0,340000.0,,641000.0
2014-04-11,7963.0,1800000.0,,
2014-03-23,,,,936000.0
2014-03-15,19324.0,2600000.0,300000.0,305000.0
2014-03-08,14604.0,2000056.0,,
2014-03-01,6000.0,,,
2014-02-22,10217.0,1558870.0,340000.0,936000.0
2014-02-15,7511.0,,,1400000.0
2014-02-01,14308.0,1651000.0,230000.0,933000.0
2014-01-25,10895.0,863655.0,,3200000.0
2014-01-15,5822.0,231951.0,,629000.0
2014-01-04,5216.0,,,
2013-12-28,15650.0,6238792.0,1025000.0,1550000.0
2013-12-14,11573.0,1066610.0,,2410000.0
2013-12-06,11393.0,1785000.0,,
2013-11-30,4346.0,322742.0,,
2013-11-16,14856.0,5759000.0,630000.0,998000.0
2013-11-09,10565.0,,,722000.0
2013-11-06,,,,641000.0
2013-10-26,10355.0,1500000.0,,122000.0
2013-10-19,17238.0,2500000.0,330000.0,628000.0
2013-10-09,6621.0,,,
2013-09-21,15504.0,1900000.0,310000.0,722000.0
2013-09-04,,,,539000.0
2013-08-31,9178.0,907116.0,270000.0,809000.0
2013-08-28,6417.0,355290.0,,824000.0
2013-08-17,14181.0,1533940.0,,1780000.0
2013-08-03,13873.0,,180000.0,
2013-07-27,8967.0,700081.0,,2040000.0
2013-07-06,12964.0,4826000.0,550000.0,
2013-06-15,14754.0,3150000.0,140000.0,
2013-06-08,6286.0,,,313000.0
2013-05-25,12380.0,2942365.0,380000.0,
2013-05-18,7642.0,,,
2013-04-27,15227.0,2700000.0,530000.0,
2013-04-20,13506.0,1333000.0,,3700000.0
2013-04-13,5549.0,569000.0,,1700000.0
2013-04-06,14506.0,2710530.0,,236000.0
2013-03-16,20145.0,3710000.0,950000.0,
2013-03-02,14682.0,,,485000.0
2013-02-23,13257.0,1350191.0,450000.0,
2013-02-16,10349.0,1300000.0,,195000.0
2013-02-02,10275.0,2437150.0,330000.0,
2013-01-26,16091.0,1270960.0,,4220000.0
2013-01-19,9116.0,,,
2012-12-29,13561.0,3286025.0,590000.0,
2012-12-15,2500.0,318525.0,,1300000.0
2012-12-14,5133.0,900000.0,,
2012-12-08,14387.0,1522600.0,,4400000.0
2012-11-17,17249.0,3143000.0,700000.0,
2012-11-10,8415.0,1300000.0,,88000.0
2012-10-13,16844.0,2500000.0,375000.0,
2012-10-05,7055.0,357590.0,,1100000.0
2012-09-29,7241.0,970000.0,,111000.0
2012-09-22,16800.0,1921000.0,450000.0,955000.0
2012-08-11,13027.0,619955.0,190000.0,
2012-08-04,16080.0,1100000.0,,
2012-07-21,16089.0,4100000.0,235000.0,
2012-07-11,4250.0,163495.0,,211000.0
2012-07-07,15104.0,6901655.0,925000.0,
2012-06-23,,,175000.0,
2012-06-22,,,,1300000.0
2012-06-08,,,,1100000.0
2012-06-01,1628.0,195250.0,,
2012-05-26,14674.0,3428775.0,560000.0,
2012-05-15,4592.0,343175.0,,173000.0
2012-05-05,,,,2400000.0
2012-04-21,,,700000.0,
2012-04-14,,,,298000.0
2012-03-02,14537.0,2200000.0,,
2012-02-25,21000.0,3300000.0,375000.0,
2012-02-15,7120.0,405895.0,,217000.0
2012-02-04,9015.0,2389975.0,400000.0,
2012-01-28,16963.0,1270960.0,,4700000.0
2012-01-20,,,,1300000.0
2012-01-14,,,235000.0,
2011-12-30,13793.0,3101000.0,750000.0,
2011-12-10,18303.0,3900000.0,485000.0,
2011-12-03,1909.0,452700.0,,2500000.0
2011-11-19,13832.0,1268600.0,290000.0,
2011-11-12,11607.0,1072187.0,,5700000.0
2011-11-05,10823.0,1500000.0,,1800000.0
2011-10-29,10313.0,3900650.0,280000.0,
2011-10-08,16164.0,2230000.0,225000.0,
2011-10-01,,,,789000.0
2011-09-24,16344.0,2089575.0,520000.0,
2011-09-17,7112.0,685000.0,,1800000.0
2011-08-27,,,335000.0,
2011-08-14,,,,766000.0
2011-08-06,11583.0,1500000.0,310000.0,
2011-07-02,13109.0,2304500.0,350000.0,
2011-06-26,7792.0,562310.0,,744000.0
2011-06-11,14685.0,2800000.0,325000.0,
2011-06-04,2053.0,440150.0,,1800000.0
2011-05-28,12753.0,2577250.0,325000.0,
2011-04-30,55724.0,12075000.0,800000.0,
2011-03-26,13741.0,1182850.0,,2200000.0
2011-03-19,12619.0,2140000.0,445000.0,
2011-03-03,8319.0,471450.0,,681000.0
2011-02-26,18186.0,3500000.0,260000.0,
2011-02-05,10893.0,3605725.0,725000.0,
2011-01-22,,,,1850000.0
2011-01-01,12874.0,2174780.0,270000.0,
2010-12-11,23152.0,4586000.0,785000.0,
2010-12-04,1903.0,380025.0,,2000000.0
2010-11-20,16404.0,2100000.0,500000.0,
2010-11-13,8421.0,600000.0,,2200000.0
2010-10-23,14856.0,2237070.0,1050000.0,
2010-10-16,17133.0,2518852.0,,1940000.0
2010-09-25,15811.0,1588163.0,295000.0,
2010-09-15,7724.0,595900.0,,1200000.0
2010-08-28,14168.0,2800000.0,535000.0,
2010-08-07,12917.0,1565130.0,600000.0,
2010-08-01,8132.0,489685.0,,
2010-07-03,12740.0,4053990.0,1160000.0,
2010-06-19,1889.0,430250.0,,2000000.0
2010-06-12,16915.0,4095235.0,520000.0,
2010-05-29,14246.0,3730125.0,1050000.0,
2010-05-08,17647.0,3270000.0,520000.0,
2010-04-10,11008.0,3500000.0,500000.0,
2010-03-31,7700.0,590685.0,,1600000.0
2010-03-27,17000.0,4000000.0,770000.0,1200000.0
2010-03-21,6443.0,568125.0,,1240000.0
2010-02-20,17431.0,2269193.0,215000.0,
2010-02-06,10753.0,2273000.0,285000.0,1700000.0
2010-01-11,8078.0,753962.0,,1700000.0
2010-01-02,13529.0,1969670.0,275000.0,1500000.0
2009-12-12,13896.0,1500000.0,620000.0,
2009-12-05,1791.0,503600.0,,2400000.0
2009-11-21,10529.0,3003250.0,375000.0,1300000.0
2009-11-14,16693.0,2000000.0,,2900000.0
2009-10-24,14892.0,1913093.0,500000.0,1400000.0
2009-09-19,17428.0,2400000.0,375000.0,1400000.0
2009-09-16,9490.0,577997.0,,2900000.0
2009-08-29,16088.0,1920000.0,435000.0,
2009-08-08,17411.0,3560852.0,850000.0,
2009-07-11,10871.0,5128490.0,1300000.0,
2009-06-20,2217.0,500000.0,,2800000.0
2009-06-13,12854.0,1300000.0,365000.0,
2009-05-23,12606.0,3265450.0,635000.0,
2009-04-18,21451.0,4850000.0,650000.0,
2009-04-01,10267.0,626077.0,,1900000.0
2009-03-07,17033.0,1861200.0,350000.0,
2009-02-21,13268.0,1000000.0,,2400000.0
2009-02-07,7596.0,428000.0,,1700000.0
2009-01-31,14885.0,4290020.0,920000.0,
2009-01-17,9369.0,1300000.0,350000.0,
2008-12-27,14103.0,3468440.0,1050000.0,
2008-12-13,1853.0,405000.0,,1900000.0
2008-12-10,8200.0,,,2000000.0
2008-11-15,14272.0,4815675.0,1010000.0,
2008-10-25,15359.0,2800000.0,300000.0,
2008-10-18,9515.0,1200000.0,,2600000.0
2008-09-17,9103.0,700000.0,,1800000.0
2008-09-06,14736.0,2600000.0,480000.0,
2008-08-09,15087.0,2252000.0,625000.0,
2008-07-19,2071.0,590000.0,,3100000.0
2008-07-05,10990.0,3350730.0,540000.0,
2008-06-21,1800.0,495350.0,,1700000.0
2008-06-07,15327.0,2920000.0,215000.0,
2008-05-24,14773.0,3732000.0,475000.0,
2008-04-19,21390.0,5100000.0,530000.0,
2008-04-02,6742.0,753429.0,,1300000.0
2008-03-01,16431.0,2200000.0,325000.0,
2008-02-02,10583.0,2437890.0,650000.0,
2008-01-19,8412.0,1250000.0,225000.0,
2007-12-29,11075.0,4994000.0,700000.0,
2007-11-17,14071.0,2100000.0,400000.0,
2007-10-20,16054.0,2540000.0,325000.0,
2007-09-22,13770.0,1985000.0,475000.0,
2007-09-08,16235.0,2700000.0,,4700000.0
2007-08-25,11118.0,3307000.0,485000.0,
2007-07-07,13183.0,1551920.0,425000.0,
2007-06-16,7850.0,1200000.0,200000.0,
2007-06-12,,,,1600000.0
2007-05-26,14728.0,4304000.0,675000.0,
2007-04-07,15269.0,2817200.0,400000.0,
2007-04-05,1734.0,282750.0,,
2007-03-03,19049.0,3014000.0,540000.0,
2007-02-03,10227.0,2767130.0,400000.0,
2006-12-30,13761.0,5397300.0,929000.0,
2006-12-13,,,,1300000.0
2006-11-18,14666.0,2138020.0,500000.0,
2006-10-14,10173.0,1790490.0,300000.0,
2006-10-10,3510.0,,,3100000.0
2006-09-23,12604.0,1582370.0,400000.0,
2006-08-26,9859.0,3040880.0,500000.0,
2006-08-17,,,,1500000.0
2006-07-08,11167.0,3350775.0,775000.0,
2006-06-28,606.0,134368.0,,1400000.0
2006-05-27,14765.0,2900090.0,620000.0,
2006-04-15,13814.0,2191450.0,425000.0,
2006-04-06,843.0,199150.0,,1600000.0
2006-03-04,9569.0,1758450.0,300000.0,
2006-02-04,11000.0,3382400.0,400000.0,
2006-01-16,1008.0,144600.0,,1700000.0
2005-11-19,12000.0,1986000.0,200000.0,
2005-10-07,8000.0,,125000.0,
2005-10-03,,,,1600000.0
2005-08-20,13520.0,2336000.0,150000.0,
2005-08-06,,,,1500000.0
2005-06-04,12000.0,1100000.0,90000.0,
2005-04-16,14562.0,2575450.0,280000.0,
2005-04-09,,,,1900000.0
2005-02-05,11072.0,1493000.0,105000.0,
2004-10-22,9000.0,,,9000.0
2004-08-21,12100.0,1293035.0,,
2004-06-19,10000.0,901655.0,,
2004-04-02,11437.0,1444020.0,106000.0,
2004-01-31,10700.0,1377000.0,80000.0,
2003-11-21,9200.0,,,
2003-09-26,10400.0,1127985.0,94000.0,
2003-06-06,9800.0,645140.0,49000.0,
2003-04-25,6700.0,,35000.0,
2003-02-28,13401.0,,,
2002-11-22,13265.0,1540000.0,150000.0,
2002-09-27,7800.0,,45000.0,
2002-07-13,3800.0,,,
2002-06-22,3700.0,,,
2002-05-10,7200.0,,50000.0,
2002-03-22,10000.0,898850.0,55000.0,
2002-01-11,9600.0,980000.0,35000.0,
2001-11-02,9000.0,502550.0,65000.0,
2001-09-28,9500.0,816660.0,75000.0,
2001-06-29,12500.0,,,
1998-03-13,4600.0,,,
1997-12-21,5000.0,,,
1997-07-27,5000.0,,,
1997-05-30,5100.0,,,
1997-02-07,3100.0,,,
1996-12-07,6000.0,,,
1996-09-20,4500.0,,,
1996-07-12,4300.0,,,
1996-05-17,10000.0,,,
1996-02-16,13000.0,,160000.0,
1995-12-16,2800.0,,,
1995-09-08,9000.0,,190000.0,
1995-07-14,2700.0,,240000.0,
1995-04-07,6000.0,,260000.0,
1994-12-16,5857.0,,,
1994-03-11,2000.0,,300000.0,
1993-11-12,7800.0,,86000.0,
